ID,female ID,male ID,female mass,male mass,Cop,Thumps,ThDur,Raps,RapDur,Pulses,Thumps_A,ThDur_A,Raps_A,RapDur_A,Pulses_A,CourtLat_L,CopLat_L,Thumps_L,ThDur_L,Raps_L,RapDur_L,Pulses_L,Notes_A,NR,r_f1,r_f2,r_f3,ta_f1,ta_f2,ta_f3,tb_f1,tb_f2,tb_f3,notes
1,m002,m098,0.2532,0.1077,0,8,2.5393975,6,2.141083334,5.166683334,8,2.44767,6,2.148,5.1667,354,,8,2.631125,6,2.134166667,5.166666667,NA,54,385,709,1338,101,115,123,95,135,96,
2,m004,m100,0.4077,0.0841,0,7.5,1.6417375,6,2.97815,7.5,8,1.593375,6,2.9693,7.5,12,,7,1.6901,6,2.987,7.5,NA,yes,201,177,529,417,183,236,225,183,246,bad
3,m005,m079,0.187,0.088,1,5,1.7855,4,3.593475,9,5,1.7972,4,3.57925,9,65,,5,1.7738,4,3.6077,9,NA,,1653,,,,,,,,,very very short peaks and look the same
4,m006,m131,0.1989,0.0831,1,2,1.94025,3,3.577835,7.66683,2,1.9125,3,3.58367,7.667,108,,2,1.968,3,3.572,7.66666,NA,yes,38,45,98,38,38,38,38,38,38,stable 38 almost everywhere
5,m007,m024,0.2027,0.1313,0,3,3.68915,4,3.5845,9.25,3,3.6593,4,3.5845,9.25,604,,3,3.719,4,3.5845,9.25,NA,40,516,713,786,431,89,698,88,88,273,
6,m011,m118,0.2131,0.0556,0,5,2.4498,6,2.4332,6.5,5,2.4428,6,2.4323,6.5,92,,5,2.4568,6,2.4341,6.5,NA,yes,787,790,775,42,100,187,49,91,187,
7,m015,m008,0.163,0.129,1,6,2.5818335,3,3.628335,8.333,6,2.524167,3,3.62267,8.333,5,181.766,6,2.6395,3,3.634,8.333,NA,yes,409,636,564,52,168,52,169,153,168,
8,m017,m046,0.1378,0.0861,1,14,2.40515,7,2.0121125,4.9583,14,2.4926,8,1.980125,4.75,0,189.812,14,2.3177,6,2.0441,5.1666,NA,39,62,66,664,235,68,140,133,72,130,
9,m018,m010,0.1419,0.1233,1,5.5,1.41135,3,4.08835,9,5,1.4954,3,4.0867,9,377,896.058,6,1.3273,3,4.09,9,NA,37,82,80,48,77,72,59,72,189,204,
10,m019,m026,0.1438,0.0846,1,14.5,2.0216,5,2.2732,5.8,15,2.038,5,2.236,5.8,2,140.934,14,2.0052,5,2.3104,5.8,NA,yes,90,41,40,93,48,89,85,82,82,
11,m021,m077,0.1482,0.096,1,0.5,0.929,1,2.5485,7,0,0,1,2.531,7,400,1391.676,1,1.858,1,2.566,7,NA,41,121,123,102,132,226,123,114,226,132,some noise 41 some clean
12,m030,m056,0.215,0.1237,1,13.5,1.567523,7,2.5146,6.1428285,13,1.572846,7,2.51,6.142857,79,353.222,14,1.5622,7,2.5192,6.1428,NA,43,228,82,73,156,83,68,83,70,153,
13,m033,m024,0.1988,0.1129,1,5,2.3417,4,4.105625,9.5,5,2.3244,4,4.084,9.5,17,264.069,5,2.359,4,4.12725,9.5,NA,34,407,139,857,73,59,143,73,110,138,
14,m035,m065,0.228,0.0971,1,8.5,2.88333,6,3.097915,7.333,9,2.81356,6,3.08483,7.333,90,476.705,8,2.9531,6,3.111,7.333,NA,yes,143,456,588,185,132,188,185,185,188,
15,m039,m041,0.1073,0.0869,0,7,2.63564,5,3.2782,7.7,7,2.30078,5,3.3612,7.8,30,,7,2.9705,5,3.1952,7.6,NA,,,,,,,,,,,
16,m040,m105,0.1906,0.1133,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,NA,,,,,,,,,,,
17,m042,m019,0.196,0.0862,0,1,1.400513889,4,3.22335,7.375,1,0.734027778,4,2.801,6.5,6,,1,2.067,4,3.6457,8.25,NA,,,,,,,,,,,
18,m043,m107,0.1641,0.0958,1,1,2.4265,0,0,0,1,2.31,0,0,0,29,44.64,1,2.543,0,0,0,NA,,,,,,,,,,,
19,m048,m023,0.2331,0.0925,0,7,1.80528,5,3.606,9.1,7,1.76286,5,3.5642,9,37,,7,1.8477,5,3.6478,9.2,NA,,,,,,,,,,,
20,m049,m139,0.2395,0.0787,0,5,2.4353,5,3.07657,7.8,5,2.3906,5,3.042,7.8,21,,5,2.48,5,3.11114,7.8,NA,,,,,,,,,,,
21,m054,m003,0.156,0.0652,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,NA,,,,,,,,,,,
22,m056,m110,0.2237,0.0916,1,11,3.41075,2,4.29875,10,11,3.383,2,4.2785,10,60,1295.639,11,3.4385,2,4.319,10,NA,,,,,,,,,,,
23,m062,m025,0.1872,0.0778,0,4.5,3.633575,3,2.695815,8,4,3.03175,3,2.3653,8,7,,5,4.2354,3,3.02633,8,NA,,,,,,,,,,,
24,m068,m152,0.1956,0.1279,1,4,1.284975,4,3.1891,7.25,4,1.34225,4,3.203,7.25,88,141.328,4,1.2277,4,3.1752,7.25,NA,,,,,,,,,,,
25,m071,m060,0.195,0.086,0,6,2.610065,6,2.3749,6,6,2.49383,6,2.335,6,0,,6,2.7263,6,2.4148,6,NA,,,,,,,,,,,
26,m072,m086,0.1563,0.0791,1,13.5,2.321285,7,2.445843,6.2857,14,2.31257,7,2.473286,6.2857,21,149.989,13,2.33,7,2.4184,6.2857,nbt,,,,,,,,,,,
27,m074,m166,0.1824,0.1484,1,3,1.264335,2,2.53425,7,3,1.22867,2,2.5545,7,41,62.938,3,1.3,2,2.514,7,nbt,,,,,,,,,,,
28,m075,m064,0.1283,0.0902,0,3,5.912733,9,1.72795,4.444,3,5.948,9,1.7661,4.444,17,,3,5.877466,9,1.6898,4.444,rap between thumps,,,,,,,,,,,
29,m076,m192,0.17,0.1028,1,18,1.742165,3,2.708315,6.33315,18,1.64867,3,2.7193,6.333,6,670.023,18,1.83566,3,2.69733,6.3333,nbt; nft,,,,,,,,,,,
30,m078,m111,0.1535,0.076,0,1,0.83,2.5,3.64105,9.25,2,1.66,2,3.6715,9.5,214,,0,0,3,3.6106,9,NA,,,,,,,,,,,
31,m081,m059,0.3507,0.124,1,8,1.128125,3,3.164135,8,8,1.14175,3,3.18967,8,106.5,439.182,8,1.1145,3,3.1386,8,NA,,,,,,,,,,,
32,m083,m038,0.1448,0.0945,0,1.5,1.832,2.5,4.1525,10.91665,2,2.155,2,4.439,11.5,385.5,,1,1.509,3,3.866,10.3333,NA,,,,,,,,,,,
33,m087,m027,0.2067,0.115,0,6.5,3.82125,5,4.5008,8,7,3.8937,5,4.0702,8,7,,6,3.7488,5,4.9314,8,NA,,,,,,,,,,,
34,m092,m114,0.1547,0.1042,0,10,3.47335,5,4.0275,10,10,3.4116,5,4.1494,10,9.5,520.858,10,3.5351,5,3.9056,10,nbt,,,,,,,,,,,
35,m094,m177,0.252,0.114,0,9,3.0165,4.5,3.073775,8.35,10,3.849,5,3.1638,8.2,19,,8,2.184,4,2.98375,8.5,nbt; thumps between raps,,,,,,,,,,,
36,m095,m159,0.147,0.117,0,2,2.113,4.5,2.288975,6.825,2,2.2175,4,2.42775,7.25,43.5,1410.485,2,2.0085,5,2.1502,6.4,NA,,,,,,,,,,,
37,m096,m036,0.2322,0.0674,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,NA,,,,,,,,,,,
38,m097,m085,0.1816,0.1175,1,5,3.6594,6,1.7681335,4.24983,5,3.62,6,1.810167,4.333,24.5,265.648,5,3.6988,6,1.7261,4.16666,NA,,,,,,,,,,,
39,m099,m034,0.1342,0.1097,1,5,0.8644,4.5,0.966,2.3335,10,1.7288,9,1.932,4.667,1,218.012,0,0,0,0,0,nft,,,,,,,,,,,
40,m101,m134,0.1083,0.0909,1,14.5,3.0253375,6,2.327885,5.16665,16,2.879375,6,2.31067,5,2,473.861,13,3.1713,6,2.3451,5.3333,nbt; nft,,,,,,,,,,,
41,m102,m195,0.199,0.086,1,10,2.06338,5,3.0471,7.1,9,2.26456,5,3.0128,7,5,483.823,11,1.8622,5,3.0814,7.2,nbt,,,,,,,,,,,
42,m108,m170,0.1042,0.1554,1,6,1.66655,6,3.172565,7.6668,7,1.4477,6,3.17383,7.667,8,269.665,5,1.8854,6,3.1713,7.6666,nft,,,,,,,,,,,
43,m115,m174,0.2982,0.1319,1,1,0.914,1,3.631,10,1,0.911,1,3.663,10,477,1459.026,1,0.917,1,3.599,10,NA,,,,,,,,,,,
44,m116,m186,0.248,0.131,1,7,2.1023,3.5,2.78525,7,8,1.8245,3,3.353,8,4,983.597,6,2.3801,4,2.2175,6,NA,,,,,,,,,,,
45,m117,m120,0.1944,0.0952,1,12,2.60750835,6,3.35565,8.4714285,12,2.6714167,7,2.8337,7.142857,2,91.707,12,2.5436,5,3.8776,9.8,NA,,,,,,,,,,,
46,m119,m126,0.3832,0.0793,0,2,1.87075,1,2.4965,6,2,1.9245,1,2.508,6,353,,2,1.817,1,2.485,6,nbt,,,,,,,,,,,
47,m124,m198,0.2358,0.1008,0,4,3.315875,4,3.0005,6.375,4,3.38125,4,3.0345,6.5,72,,4,3.2505,4,2.9665,6.25,nbt,,,,,,,,,,,
48,m125,m121,0.1666,0.0875,0,12,2.13510835,6,2.82075,8.6668,12,2.2509167,6,2.766,8.667,8,,12,2.0193,6,2.8755,8.6666,NA,,,,,,,,,,,
